cust,date,sales
17850,2010-12-01,15.3
17850,2010-12-01,20.34
17850,2010-12-01,22
17850,2010-12-01,20.34
17850,2010-12-01,20.34
17850,2010-12-01,15.3
17850,2010-12-01,25.5
17850,2010-12-01,11.1
17850,2010-12-01,11.1
13047,2010-12-01,54.08
13047,2010-12-01,12.6
13047,2010-12-01,12.6
13047,2010-12-01,30
13047,2010-12-01,9.9
13047,2010-12-01,25.5
13047,2010-12-01,14.85
13047,2010-12-01,19.9
13047,2010-12-01,17.85
13047,2010-12-01,17.85
13047,2010-12-01,31.8
13047,2010-12-01,31.8
13047,2010-12-01,25.5
13047,2010-12-01,14.85
13047,2010-12-01,14.85
13047,2010-12-01,14.85
13047,2010-12-01,17.85
12583,2010-12-01,90
12583,2010-12-01,90
12583,2010-12-01,45
12583,2010-12-01,10.2
12583,2010-12-01,15.6
12583,2010-12-01,40.8
12583,2010-12-01,30
12583,2010-12-01,53.1
12583,2010-12-01,70.8
12583,2010-12-01,46.8
12583,2010-12-01,46.8
12583,2010-12-01,46.8
12583,2010-12-01,17
12583,2010-12-01,39.6
12583,2010-12-01,70.8
12583,2010-12-01,45
12583,2010-12-01,10.08
12583,2010-12-01,10.08
12583,2010-12-01,23.4
12583,2010-12-01,54
13748,2010-12-01,204
17850,2010-12-01,11.1
17850,2010-12-01,11.1
17850,2010-12-01,15.3
17850,2010-12-01,20.34
17850,2010-12-01,22
17850,2010-12-01,29.7
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,9.9
17850,2010-12-01,27.8
17850,2010-12-01,12.6
17850,2010-12-01,15.3
17850,2010-12-01,20.34
17850,2010-12-01,20.34
17850,2010-12-01,15.3
17850,2010-12-01,25.5
15100,2010-12-01,350.4
17850,2010-12-01,15.3
17850,2010-12-01,20.34
17850,2010-12-01,22
17850,2010-12-01,29.7
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,9.9
17850,2010-12-01,27.8
17850,2010-12-01,12.6
17850,2010-12-01,15.3
17850,2010-12-01,20.34
17850,2010-12-01,20.34
17850,2010-12-01,15.3
17850,2010-12-01,25.5
15291,2010-12-01,165.6
15291,2010-12-01,163.2
17850,2010-12-01,11.1
17850,2010-12-01,11.1
14688,2010-12-01,19.5
14688,2010-12-01,19.5
14688,2010-12-01,29.5
14688,2010-12-01,8.5
14688,2010-12-01,45
14688,2010-12-01,22.5
14688,2010-12-01,10.2
14688,2010-12-01,16.5
14688,2010-12-01,15.3
14688,2010-12-01,15.3
14688,2010-12-01,50.4
14688,2010-12-01,13.2
14688,2010-12-01,13.2
14688,2010-12-01,13.2
14688,2010-12-01,17.7
14688,2010-12-01,60
14688,2010-12-01,36.48
14688,2010-12-01,19.5
14688,2010-12-01,19.5
17809,2010-12-01,34.8
15311,2010-12-01,97.75
15311,2010-12-01,24.75
15311,2010-12-01,19.5
15311,2010-12-01,4.2
15311,2010-12-01,7.5
15311,2010-12-01,30
15311,2010-12-01,30
15311,2010-12-01,1.25
15311,2010-12-01,0.85
15311,2010-12-01,2.55
15311,2010-12-01,16.5
15311,2010-12-01,5.07
15311,2010-12-01,1.95
15311,2010-12-01,4.2
15311,2010-12-01,2.95
15311,2010-12-01,2.95
15311,2010-12-01,11.8
15311,2010-12-01,2.95
15311,2010-12-01,5.1
15311,2010-12-01,3.75
15311,2010-12-01,5.1
15311,2010-12-01,0.85
15311,2010-12-01,0.85
15311,2010-12-01,1.45
15311,2010-12-01,4.95
15311,2010-12-01,5.9
15311,2010-12-01,11.9
15311,2010-12-01,11.9
15311,2010-12-01,5.8
15311,2010-12-01,2.95
15311,2010-12-01,1.95
15311,2010-12-01,3.3
15311,2010-12-01,11.85
15311,2010-12-01,38.16
15311,2010-12-01,67.5
14527,2010-12-01,-27.5
16098,2010-12-01,10.2
16098,2010-12-01,30
16098,2010-12-01,19.8
16098,2010-12-01,19.5
16098,2010-12-01,21
16098,2010-12-01,92.5
16098,2010-12-01,23.6
16098,2010-12-01,15
16098,2010-12-01,71.4
16098,2010-12-01,29.9
16098,2010-12-01,29.9
16098,2010-12-01,67.8
15311,2010-12-01,-4.65
18074,2010-12-01,19.35
18074,2010-12-01,31.2
18074,2010-12-01,19.8
18074,2010-12-01,17.7
18074,2010-12-01,35.4
18074,2010-12-01,58
18074,2010-12-01,102
18074,2010-12-01,17.7
18074,2010-12-01,25.5
18074,2010-12-01,15.8
18074,2010-12-01,17.85
18074,2010-12-01,41.7
18074,2010-12-01,87.6
17420,2010-12-01,19.95
17420,2010-12-01,17.4
17420,2010-12-01,25.5
17420,2010-12-01,19.5
17420,2010-12-01,15
17420,2010-12-01,17
17420,2010-12-01,16.5
16029,2010-12-01,178.2
16029,2010-12-01,165
16029,2010-12-01,165
16029,2010-12-01,733.44
16029,2010-12-01,647.04
16029,2010-12-01,647.04
16029,2010-12-01,626.4
16029,2010-12-01,540
16250,2010-12-01,17.85
16250,2010-12-01,17.85
16250,2010-12-01,15.9
16250,2010-12-01,14.85
16250,2010-12-01,12.75
16250,2010-12-01,17.7
16250,2010-12-01,19.8
16250,2010-12-01,5.04
16250,2010-12-01,10.2
16250,2010-12-01,17.4
16250,2010-12-01,10.2
16250,2010-12-01,27
16250,2010-12-01,19.8
16250,2010-12-01,19.8
12431,2010-12-01,51
12431,2010-12-01,39.6
12431,2010-12-01,15
12431,2010-12-01,32.7
12431,2010-12-01,25.4
12431,2010-12-01,35.7
12431,2010-12-01,17.85
12431,2010-12-01,17
12431,2010-12-01,15
12431,2010-12-01,15
12431,2010-12-01,17
12431,2010-12-01,17
12431,2010-12-01,39.6
12431,2010-12-01,20.4
17511,2010-12-01,17
17511,2010-12-01,45
17511,2010-12-01,17.4
17511,2010-12-01,34.56
17511,2010-12-01,34.56
17511,2010-12-01,68
17511,2010-12-01,92.16
17511,2010-12-01,102
17511,2010-12-01,28.8
17511,2010-12-01,163.2
17511,2010-12-01,72
17511,2010-12-01,72.5
17511,2010-12-01,51
17511,2010-12-01,61.44
17511,2010-12-01,61.44
17511,2010-12-01,31.2
17511,2010-12-01,46.08
17511,2010-12-01,198
17511,2010-12-01,102
17511,2010-12-01,81.36
17511,2010-12-01,90
17511,2010-12-01,71.04
17511,2010-12-01,120
17511,2010-12-01,165
17548,2010-12-01,-19.8
17548,2010-12-01,-6.96
17548,2010-12-01,-6.96
17548,2010-12-01,-6.96
17548,2010-12-01,-41.4
17548,2010-12-01,-19.8
17548,2010-12-01,-39.6
13705,2010-12-01,11.7
13705,2010-12-01,15
13705,2010-12-01,15
13705,2010-12-01,15
13705,2010-12-01,165
13705,2010-12-01,15
13705,2010-12-01,15
13705,2010-12-01,23.8
13705,2010-12-01,27.04
13705,2010-12-01,15.6
13747,2010-12-01,79.6
13408,2010-12-01,10.08
13408,2010-12-01,177.6
13408,2010-12-01,177.6
13408,2010-12-01,177.6
13408,2010-12-01,177.6
13408,2010-12-01,59.4
13408,2010-12-01,45
13408,2010-12-01,60
13408,2010-12-01,25.2
13408,2010-12-01,81.6
13408,2010-12-01,33
13767,2010-12-01,31.6
13767,2010-12-01,54.08
13767,2010-12-01,13.2
13767,2010-12-01,13.2
13767,2010-12-01,13.2
13767,2010-12-01,27.6
13767,2010-12-01,16.8
13767,2010-12-01,15
13767,2010-12-01,30
13767,2010-12-01,30
13767,2010-12-01,30
13767,2010-12-01,31.6
13767,2010-12-01,100.8
13767,2010-12-01,100.8
17850,2010-12-01,15.3
17850,2010-12-01,20.34
17850,2010-12-01,22
17850,2010-12-01,29.7
17850,2010-12-01,29.7
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,9.9
17850,2010-12-01,27.8
17850,2010-12-01,12.6
17850,2010-12-01,30.6
17850,2010-12-01,20.34
17850,2010-12-01,20.34
17850,2010-12-01,15.3
17850,2010-12-01,71.5
17850,2010-12-01,25.5
17924,2010-12-01,55.8
17924,2010-12-01,223.2
13448,2010-12-01,6.96
13448,2010-12-01,17.7
13448,2010-12-01,27
13448,2010-12-01,20.4
13448,2010-12-01,51
13448,2010-12-01,15.9
13448,2010-12-01,25.2
13448,2010-12-01,25.2
13448,2010-12-01,25.2
13448,2010-12-01,15
13448,2010-12-01,19.8
13448,2010-12-01,20.1
13448,2010-12-01,15.8
13448,2010-12-01,37.2
13448,2010-12-01,44.55
13448,2010-12-01,15
13448,2010-12-01,44.55
17850,2010-12-01,11.1
17850,2010-12-01,11.1
13448,2010-12-01,17.4
15862,2010-12-01,2.55
15862,2010-12-01,1.25
15862,2010-12-01,2.5
15862,2010-12-01,2.95
15862,2010-12-01,3.35
15862,2010-12-01,1.45
15862,2010-12-01,1.25
15862,2010-12-01,2.5
15862,2010-12-01,1.65
15862,2010-12-01,5.8
15862,2010-12-01,1.25
15862,2010-12-01,4.95
15862,2010-12-01,7.5
15862,2010-12-01,2.5
15862,2010-12-01,19.9
15862,2010-12-01,9.95
15862,2010-12-01,5.95
15862,2010-12-01,4.25
15862,2010-12-01,14.85
15862,2010-12-01,2.55
15862,2010-12-01,2.95
15862,2010-12-01,3.38
15862,2010-12-01,7.95
15862,2010-12-01,0.55
15862,2010-12-01,0.55
15862,2010-12-01,1.1
15862,2010-12-01,11.8
15862,2010-12-01,4.2
15862,2010-12-01,2.1
15862,2010-12-01,1.25
15862,2010-12-01,0.85
15862,2010-12-01,1.65
15862,2010-12-01,2.95
15862,2010-12-01,2.95
15862,2010-12-01,2.5
15862,2010-12-01,3.75
15862,2010-12-01,1.25
15862,2010-12-01,1.25
15862,2010-12-01,3.3
15862,2010-12-01,5.9
15862,2010-12-01,5.9
15862,2010-12-01,5.95
15862,2010-12-01,1.25
15862,2010-12-01,5.1
15862,2010-12-01,7.65
15862,2010-12-01,1.65
15862,2010-12-01,11.8
15862,2010-12-01,8.85
15862,2010-12-01,5.95
15862,2010-12-01,7.95
15862,2010-12-01,1.65
15862,2010-12-01,3.3
15862,2010-12-01,1.65
15862,2010-12-01,1.65
15862,2010-12-01,12.75
15862,2010-12-01,8.85
15862,2010-12-01,8.85
15862,2010-12-01,22.95
15862,2010-12-01,16.95
15862,2010-12-01,11.8
15862,2010-12-01,10.65
15862,2010-12-01,4.25
15862,2010-12-01,13.9
15862,2010-12-01,11.9
15513,2010-12-01,102
15513,2010-12-01,102
15513,2010-12-01,153
12791,2010-12-01,177.6
12791,2010-12-01,15
16218,2010-12-01,30
16218,2010-12-01,15
16218,2010-12-01,15
16218,2010-12-01,15
16218,2010-12-01,15
16218,2010-12-01,19.8
16218,2010-12-01,30.6
16218,2010-12-01,15
16218,2010-12-01,15
16218,2010-12-01,15
16218,2010-12-01,15
16218,2010-12-01,15
16218,2010-12-01,15
16218,2010-12-01,10.2
16218,2010-12-01,10.2
16218,2010-12-01,10.2
16218,2010-12-01,15
16218,2010-12-01,15
16218,2010-12-01,25.2
16218,2010-12-01,13.2
16218,2010-12-01,13.2
16218,2010-12-01,13.2
16218,2010-12-01,13.2
16218,2010-12-01,13.2
16218,2010-12-01,16.5
16218,2010-12-01,16.5
16218,2010-12-01,16.5
16218,2010-12-01,39.6
14045,2010-12-01,326.4
17850,2010-12-01,20.4
17850,2010-12-01,27.12
17850,2010-12-01,22
17850,2010-12-01,29.7
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,6.36
17850,2010-12-01,19.8
17850,2010-12-01,27.8
17850,2010-12-01,12.6
17850,2010-12-01,15.3
17850,2010-12-01,20.34
17850,2010-12-01,20.34
17850,2010-12-01,15.3
17850,2010-12-01,71.5
17850,2010-12-01,25.5
17850,2010-12-01,11.1
17850,2010-12-01,11.1
14307,2010-12-01,10.08
14307,2010-12-01,10.08
14307,2010-12-01,10.2
14307,2010-12-01,19.8
14307,2010-12-01,15
14307,2010-12-01,15
14307,2010-12-01,10.2
14307,2010-12-01,23.4
14307,2010-12-01,15.8
14307,2010-12-01,15
14307,2010-12-01,15
14307,2010-12-01,12.6
14307,2010-12-01,25.2
14307,2010-12-01,20.4
14307,2010-12-01,15
14307,2010-12-01,11.4
14307,2010-12-01,17.7
14307,2010-12-01,19.8
14307,2010-12-01,9.9
14307,2010-12-01,15.9
14307,2010-12-01,15.9
14307,2010-12-01,19.8
14307,2010-12-01,10.2
14307,2010-12-01,13.52
14307,2010-12-01,17.85
14307,2010-12-01,17.85
14307,2010-12-01,23.6
14307,2010-12-01,30.6
14307,2010-12-01,5.04
14307,2010-12-01,10.5
14307,2010-12-01,17
14307,2010-12-01,17.85
14307,2010-12-01,17.85
14307,2010-12-01,22.5
14307,2010-12-01,13.2
14307,2010-12-01,17.4
14307,2010-12-01,14.85
14307,2010-12-01,19.8
14307,2010-12-01,6.3
14307,2010-12-01,5.04
14307,2010-12-01,23.4
14307,2010-12-01,15.3
14307,2010-12-01,30.6
14307,2010-12-01,16.5
14307,2010-12-01,23.4
14307,2010-12-01,15
14307,2010-12-01,15
14307,2010-12-01,19.8
17908,2010-12-01,19.05
17908,2010-12-01,3.75
17908,2010-12-01,4.95
17908,2010-12-01,6.75
17908,2010-12-01,1.25
17908,2010-12-01,1.65
17908,2010-12-01,2.1
17908,2010-12-01,3.75
17908,2010-12-01,2.1
17908,2010-12-01,2.1
17908,2010-12-01,2.95
17908,2010-12-01,1.25
17908,2010-12-01,1.25
17908,2010-12-01,2.95
17908,2010-12-01,2.95
17908,2010-12-01,6.35
17908,2010-12-01,7.95
17908,2010-12-01,4.25
17908,2010-12-01,3.75
17908,2010-12-01,10.5
17908,2010-12-01,0.42
17908,2010-12-01,1.25
17908,2010-12-01,6.75
17908,2010-12-01,5.1
17908,2010-12-01,5.1
17908,2010-12-01,2.95
17908,2010-12-01,8.85
17908,2010-12-01,3.9
17908,2010-12-01,15
17908,2010-12-01,5.88
17908,2010-12-01,2.88
17908,2010-12-01,5.95
17908,2010-12-01,1.25
17908,2010-12-01,1.65
17908,2010-12-01,1.25
17908,2010-12-01,7.8
17908,2010-12-01,5.95
17908,2010-12-01,1.65
17908,2010-12-01,2.95
17908,2010-12-01,1.95
17908,2010-12-01,2.5
17908,2010-12-01,4.95
17908,2010-12-01,12.7
17908,2010-12-01,2.1
17908,2010-12-01,2.1
17908,2010-12-01,1.65
17908,2010-12-01,4.35
17908,2010-12-01,4.35
17908,2010-12-01,2.52
17908,2010-12-01,1.7
17908,2010-12-01,3.9
17908,2010-12-01,1.95
17908,2010-12-01,1.25
17908,2010-12-01,0.85
17908,2010-12-01,2.95
17908,2010-12-01,3.48
17908,2010-12-01,4.95
17908,2010-12-01,4.95
17920,2010-12-01,4.95
17920,2010-12-01,4.95
17920,2010-12-01,2.95
17920,2010-12-01,6.6
17920,2010-12-01,4.95
17920,2010-12-01,4.95
17920,2010-12-01,2.95
17920,2010-12-01,2.95
17920,2010-12-01,1.95
17920,2010-12-01,1.95
17920,2010-12-01,1.69
17920,2010-12-01,1.69
17920,2010-12-01,1.69
17920,2010-12-01,1.69
17920,2010-12-01,2.95
17920,2010-12-01,2.95
17920,2010-12-01,12.75
17920,2010-12-01,8.25
17920,2010-12-01,1.65
17920,2010-12-01,6.5
17920,2010-12-01,2.95
17920,2010-12-01,1.65
17920,2010-12-01,3.75
17920,2010-12-01,34.8
17920,2010-12-01,3.3
17920,2010-12-01,13.95
17920,2010-12-01,7.5
17920,2010-12-01,4.25
17920,2010-12-01,3.75
17920,2010-12-01,3.3
17920,2010-12-01,5.9
17920,2010-12-01,1.25
17920,2010-12-01,9.9
17920,2010-12-01,2.1
17920,2010-12-01,4.2
17920,2010-12-01,4.95
17920,2010-12-01,11.55
17920,2010-12-01,1.65
17920,2010-12-01,8.25
17920,2010-12-01,8.25
17920,2010-12-01,15
17920,2010-12-01,8.25
17920,2010-12-01,1.65
17920,2010-12-01,5.9
17920,2010-12-01,14.75
17920,2010-12-01,5.9
17920,2010-12-01,2.95
17920,2010-12-01,5.9
17920,2010-12-01,3.75
17920,2010-12-01,7.5
17920,2010-12-01,0.95
17920,2010-12-01,5.9
17920,2010-12-01,11.25
17920,2010-12-01,2.1
17920,2010-12-01,2.1
17920,2010-12-01,11.25
17920,2010-12-01,7.5
17920,2010-12-01,1.65
17920,2010-12-01,2.95
17920,2010-12-01,7.5
17920,2010-12-01,3.3
17920,2010-12-01,39.8
17920,2010-12-01,14.7
17920,2010-12-01,3.3
17920,2010-12-01,14.7
17920,2010-12-01,4.95
17920,2010-12-01,4.95
17920,2010-12-01,4.95
17920,2010-12-01,13.5
17920,2010-12-01,4.25
17920,2010-12-01,5.9
17920,2010-12-01,4.95
17920,2010-12-01,13.5
17920,2010-12-01,1.65
17920,2010-12-01,2.95
17920,2010-12-01,4.95
17920,2010-12-01,5.9
17920,2010-12-01,4.95
17920,2010-12-01,7.5
17920,2010-12-01,2.95
17920,2010-12-01,7.95
